,id,name,level,joined_time,num_message,reaction_score,point
0,1476978,Mr_X_f33,Senior Member,1422082104,"2,165","2,711",113
1,1483896,CuChanh33,Senior Member,1424744870,"1,062","1,000",113
2,321528,haitrang307,Đã tốn tiền,1260005242,"1,390",424,83
3,1536345,beerdz92,Senior Member,1460824659,"4,198","9,470",113
4,1425082,Tu Anh the Pig,Senior Member,1403934525,"1,963","1,443",113
5,109153,__Paradise__,Senior Member,1223445146,"1,202","1,979",113
6,992865,hotay01,Senior Member,1329224911,"5,096","1,611",113
7,1291625,kenzabo123,Senior Member,1373352502,"1,838",966,113
8,1663285,manhlicious,Senior Member,1524888079,149,105,43
9,1184674,picasanet01,Senior Member,1357751953,"2,078","1,906",113
10,1965440,manoao,Senior Member,1706753713,"1,977","4,674",113
11,1960971,Phanh Blank 2,Senior Member,1705363084,"5,597","5,416",113
12,1250628,holyshit999,Senior Member,1367105216,64,76,18
13,530852,linhyoyo,Senior Member,1284995072,"4,156","1,694",113
14,25336,naughtyboy,Senior Member,1188755531,"8,159","6,132",113
15,1151708,danhxauramau,Đã tốn tiền,1352707006,763,431,63
16,1364970,VTV4.VN,Senior Member,1384441568,"4,508","2,521",113
17,1277987,hil4231996,Senior Member,1371271288,"3,333","2,276",113
18,685564,Radiohead193,Senior Member,1300642203,680,113,43
19,1247282,Cerulean Sky ver2,Senior Member,1366616280,"3,128","2,316",113
20,492112,Ken_1102,Senior Member,1280977421,"2,016","1,098",113
21,757936,silv3rgun,Đã tốn tiền,1305870193,"28,792","6,561",113
22,430040,hoangkan11,Senior Member,1272869328,796,162,43
23,1931265,NeverEver,Senior Member,1696474256,269,282,63
24,1324399,wherewestand,Đã tốn tiền,1378123025,"7,946","6,410",113
25,1041367,clone_kumihihi,Senior Member,1337613691,"4,403",886,113
26,1937654,Minh Khoi 33,Senior Member,1698324046,"1,012","1,041",113
27,1857119,natsukifr,Senior Member,1673732612,"1,449","1,284",113
28,1796903,vozVNuser,Senior Member,1647630606,"5,503","2,342",113
29,1870564,iloveblue,Member,1678775345,860,552,93
30,1693845,Jokerhero3,Senior Member,1605402783,"6,368","5,422",113
31,1638885,nhamoimuatulanhtoshiba,Senior Member,1512191941,256,146,43
32,1365472,zuizui01,Senior Member,1384513362,"2,295","4,102",113
33,1847849,martin98,Senior Member,1670064579,"1,268","1,059",113
34,17039,duongqua,Senior Member,1183540302,"1,475",475,83
35,773539,Rock32,Đã tốn tiền,1307104755,191,-4,18
36,1918930,mazda6,Senior Member,1692179035,877,534,93
37,212200,khimatcho,Senior Member,1247887525,441,123,43
38,1812312,_SơnNguyễn,Senior Member,1654845935,"1,352",245,63
39,1752080,rapquạttháng8,Senior Member,1627312370,"1,940","1,393",113
40,1529625,AnhDaDenNo1,Senior Member,1460776118,93,15,8
41,1442790,Biologist,Senior Member,1410774015,907,589,93
42,1256302,BanhXe0_,Đã tốn tiền,1367986836,"10,580","4,333",113
43,148889,hell1989,Senior Member,1237711938,"3,226","1,147",113
44,1514454,namnabonbon,Senior Member,1460560021,865,228,43
45,1761714,library(shiny),Senior Member,1630473304,"3,296","3,963",113
46,1468503,huankhubg,Đã tốn tiền,1419652843,"11,116","13,788",113
47,1640181,naughtyfox93,Senior Member,1512918861,"1,308","4,003",113
48,7706,ghost,Senior Member,1171601099,"4,229","3,617",113
49,94173,ngocbig,Senior Member,1218173131,147,57,28
50,1296508,daihan,Senior Member,1374487647,651,788,93
51,1797815,Nguyễn Văn Chiến,Senior Member,1648033217,362,295,63
52,1451058,Hulk CuToa,Senior Member,1416910246,913,453,63
53,333864,tiendung_jibe,Đã tốn tiền,1261391421,"2,688","4,151",113
54,1793219,Hunghien18,Senior Member,1645866314,774,565,93
55,1472571,AyaBrea,Senior Member,1420697433,"10,367","3,156",113
56,1512562,Bodeptrai.123,Senior Member,1460555254,"1,286","1,136",113
57,1689507,Yeutatcacacem,Senior Member,1603089250,716,484,63
58,1736516,NoName56,Senior Member,1621515425,751,825,93
59,1462421,niki_lauda,Senior Member,1418275535,"1,084",997,113
60,1919454,Netflix BMT,Senior Member,1692332942,443,69,28
61,1293111,biheodn01,Senior Member,1373566078,"3,771","3,890",113
62,2148,nec,Đã tốn tiền,1159091275,"1,648",948,113
63,520692,voldemort0809,Senior Member,1284009959,"4,338","5,032",113
64,488680,lakkal,Senior Member,1280635780,"1,182","2,347",113
